"","rowname","PlateID","WellName","Field","Timepoint","timepoint","X","Y","FRET1","CFP.Mean","YFP.Mean","Cell.Roundness","Cell.Area.µm","dist","dfret","df.fret","Well2","Treatment","time"
"1","1",16765,"B10",2,1,"1",392,14,0.737695,1347.75,994.23,0.854204,68.1133,0,0,0,"10","FSK",0
"2","1",16765,"B10",2,1,"2",388,13,0.750834,1122.23,842.611,0.876813,59.4052,4.12310562561766,0.013139,1.78108839018836,"10","FSK",2
"3","1",16765,"B10",2,1,"3",390,9,0.774101,1185.6,917.773,0.724952,34.1429,4.47213595499958,0.036406,4.93510190525896,"10","FSK",6
"4","2",16765,"B10",2,1,"1",976,23,0.763777,1685.73,1287.52,1.00019,62.2504,0,0,0,"10","FSK",0
"5","2",16765,"B10",2,1,"2",970,20,0.820127,1320.69,1083.13,0.979628,61.4744,6.70820393249937,0.05635,7.37780792037467,"10","FSK",2
"6","2",16765,"B10",2,1,"3",970,14,0.925034,1582.69,1464.05,0.96901,58.9741,6,0.161257,21.1130997660312,"10","FSK",6
"7","2",16765,"B10",2,1,"4",967,12,0.980688,1291.35,1266.41,0.935466,53.0249,3.60555127546399,0.216911,28.3997816116484,"10","FSK",10
"8","3",16765,"B10",2,1,"1",969,55,0.900596,678.917,611.43,0.920602,81.8222,0,0,0,"10","FSK",0
"9","3",16765,"B10",2,1,"2",964,53,0.896626,649.903,582.72,0.916782,82.7706,5.3851648071345,-0.00396999999999992,-0.440819190846941,"10","FSK",2
"10","3",16765,"B10",2,1,"3",959,44,0.896052,679.226,608.622,0.921789,85.0985,10.295630140987,-0.00454399999999999,-0.504554761513486,"10","FSK",6
"11","3",16765,"B10",2,1,"4",958,40,0.889654,660.461,587.582,0.940515,83.2879,4.12310562561766,-0.010942,-1.2149731955283,"10","FSK",10
"12","4",16765,"B10",2,1,"1",843,130,0.772097,1641.91,1267.71,0.981695,63.1126,0,0,0,"10","FSK",0
"13","4",16765,"B10",2,1,"2",840,130,0.804109,1490.98,1198.91,0.971442,61.9917,3,0.0320119999999999,4.14611117515026,"10","FSK",2
"14","4",16765,"B10",2,1,"3",837,122,0.835981,1628.71,1361.57,0.949397,63.7161,8.54400374531753,0.0638839999999999,8.27408991357303,"10","FSK",6
"15","4",16765,"B10",2,1,"4",833,116,0.914642,1433.77,1311.38,0.953268,62.7677,7.21110255092798,0.142545,18.4620585237347,"10","FSK",10
"16","5",16765,"B10",2,1,"1",809,159,0.611199,761.734,465.571,0.756003,58.8878,0,0,0,"10","FSK",0
"17","5",16765,"B10",2,1,"2",806,157,0.633903,625.357,396.415,0.653035,54.5769,3.60555127546399,0.0227039999999999,3.71466576352382,"10","FSK",2
"18","5",16765,"B10",2,1,"3",795,167,0.640771,591.337,378.912,0.567706,180.63,14.8660687473185,0.0295719999999999,4.8383587015031,"10","FSK",6
"19","5",16765,"B10",2,1,"4",795,173,0.65915,522.588,344.464,0.70867,59.0603,6,0.047951,7.84539896171295,"10","FSK",10
"20","6",16765,"B10",2,1,"1",703,193,0.792104,2822.79,2235.95,0.94629,56.6461,0,0,0,"10","FSK",0
"21","6",16765,"B10",2,1,"2",700,191,0.931208,2104.66,1959.88,0.942297,52.4214,3.60555127546399,0.139104,17.5613303303607,"10","FSK",2
"22","6",16765,"B10",2,1,"3",697,182,1.05057,2492.72,2618.78,0.930191,56.3013,9.48683298050514,0.258466,32.6303111712603,"10","FSK",6
"23","6",16765,"B10",2,1,"4",694,178,1.08783,2081.72,2264.55,0.943215,52.5076,5,0.295726,37.3342389383212,"10","FSK",10
"24","7",16765,"B10",2,1,"1",846,241,0.796414,565.637,450.482,0.995829,47.0758,0,0,0,"10","FSK",0
"25","7",16765,"B10",2,1,"2",842,239,0.812596,554.941,450.943,1.02236,44.1443,4.47213595499958,0.016182,2.03185780260016,"10","FSK",2
"26","7",16765,"B10",2,1,"3",839,230,0.816285,592.248,483.443,0.989599,44.1443,9.48683298050514,0.0198710000000001,2.49505910242664,"10","FSK",6
"27","7",16765,"B10",2,1,"4",837,228,0.835406,542.896,453.539,0.948039,48.0242,2.82842712474619,0.038992,4.89594607829597,"10","FSK",10
"28","8",16765,"B10",2,1,"1",205,341,0.759566,1672.27,1270.2,0.970795,87.9438,0,0,0,"10","FSK",0
"29","8",16765,"B10",2,1,"2",200,339,0.775093,1186.21,919.426,0.963447,80.3565,5.3851648071345,0.0155270000000001,2.04419365795732,"10","FSK",2
"30","8",16765,"B10",2,1,"3",199,330,0.756914,1641.71,1242.63,0.978507,89.1508,9.05538513813742,-0.00265199999999999,-0.349146749591212,"10","FSK",6
"31","8",16765,"B10",2,1,"4",195,326,0.768927,1252.51,963.09,0.973807,85.0985,5.65685424949238,0.00936100000000006,1.23241429974486,"10","FSK",10
"32","9",16765,"B10",2,1,"1",362,434,0.797222,1061.2,846.012,0.953707,80.5289,0,0,0,"10","FSK",0
"33","9",16765,"B10",2,1,"2",357,431,0.806711,679.284,547.986,0.8597,87.0816,5.8309518948453,0.00948899999999997,1.19025817150053,"10","FSK",2
"34","9",16765,"B10",2,1,"3",356,422,0.824118,1002.84,826.456,0.965252,87.0816,9.05538513813742,0.026896,3.37371522612272,"10","FSK",6
"35","9",16765,"B10",2,1,"4",352,419,0.87408,721.232,630.415,0.898707,86.0469,5,0.076858,9.64072742598674,"10","FSK",10
"36","10",16765,"B10",2,1,"1",935,492,0.825844,882.929,729.161,0.973288,69.4066,0,0,0,"10","FSK",0
"37","10",16765,"B10",2,1,"2",933,490,0.854421,708.781,605.598,0.98091,63.0264,2.82842712474619,0.028577,3.46033875647216,"10","FSK",2
"38","10",16765,"B10",2,1,"3",930,481,0.86341,901.374,778.255,0.969743,67.5098,9.48683298050514,0.037566,4.54880098420525,"10","FSK",6
"39","10",16765,"B10",2,1,"4",927,478,0.938294,734.939,689.589,0.976608,63.9748,4.24264068711928,0.11245,13.6163730680371,"10","FSK",10
